Team1,Team2,Game Date,W/L
HOU,POR,11/16/2012,L
MIA,DEN,11/15/2012,W
BOS,BKN,11/15/2012,L
DEN,MIA,11/15/2012,L
NYK,SAS,11/15/2012,W
SAS,NYK,11/15/2012,L
BKN,BOS,11/15/2012,W
IND,MIL,11/14/2012,L
MIL,IND,11/14/2012,W
OKC,MEM,11/14/2012,L
MEM,OKC,11/14/2012,W
DET,PHI,11/14/2012,W
PHI,DET,11/14/2012,L
CHI,PHX,11/14/2012,W
GSW,ATL,11/14/2012,W
ATL,GSW,11/14/2012,L
NOH,HOU,11/14/2012,L
HOU,NOH,11/14/2012,W
MIN,CHA,11/14/2012,L
CHA,MIN,11/14/2012,W
BOS,UTA,11/14/2012,W
UTA,BOS,11/14/2012,L
MIA,LAC,11/14/2012,L
LAC,MIA,11/14/2012,W
WAS,DAL,11/14/2012,L
DAL,WAS,11/14/2012,W
PHX,CHI,11/14/2012,L
TOR,IND,11/13/2012,W
IND,TOR,11/13/2012,L
ORL,NYK,11/13/2012,L
SAS,LAL,11/13/2012,W
LAL,SAS,11/13/2012,L
WAS,CHA,11/13/2012,L
CHA,WAS,11/13/2012,W
CLE,BKN,11/13/2012,L
BKN,CLE,11/13/2012,W
NYK,ORL,11/13/2012,W
POR,SAC,11/13/2012,W
SAC,POR,11/13/2012,L
CHI,BOS,11/12/2012,L
HOU,MIA,11/12/2012,L
MIA,HOU,11/12/2012,W
DAL,MIN,11/12/2012,L
OKC,DET,11/12/2012,W
BOS,CHI,11/12/2012,W
DET,OKC,11/12/2012,L
MIL,PHI,11/12/2012,W
PHI,MIL,11/12/2012,L
MIN,DAL,11/12/2012,W
PHX,DEN,11/12/2012,W
DEN,PHX,11/12/2012,L
TOR,UTA,11/12/2012,L
UTA,TOR,11/12/2012,W
POR,ATL,11/12/2012,L
ATL,POR,11/12/2012,W
LAL,SAC,11/11/2012,W
OKC,CLE,11/11/2012,W
CLE,OKC,11/11/2012,L
MIA,MEM,11/11/2012,L
MEM,MIA,11/11/2012,W
SAC,LAL,11/11/2012,L
LAC,ATL,11/11/2012,W
ATL,LAC,11/11/2012,L
ORL,BKN,11/11/2012,L
BKN,ORL,11/11/2012,W
CHI,MIN,11/10/2012,W
DAL,CHA,11/10/2012,L
POR,SAS,11/10/2012,L
CHA,DAL,11/10/2012,W
IND,WAS,11/10/2012,W
SAS,POR,11/10/2012,W
TOR,PHI,11/10/2012,L
PHI,TOR,11/10/2012,W
UTA,PHX,11/10/2012,W
PHX,UTA,11/10/2012,L
WAS,IND,11/10/2012,L
GSW,DEN,11/10/2012,L
DEN,GSW,11/10/2012,W
BOS,MIL,11/10/2012,W
MIL,BOS,11/10/2012,L
MIN,CHI,11/10/2012,L
DET,HOU,11/10/2012,L
HOU,DET,11/10/2012,W
ATL,MIA,11/09/2012,L
HOU,MEM,11/09/2012,L
MEM,HOU,11/09/2012,W
DAL,NYK,11/09/2012,L
MIA,ATL,11/09/2012,W
NYK,DAL,11/09/2012,W
GSW,LAL,11/09/2012,L
LAL,GSW,11/09/2012,W
WAS,MIL,11/09/2012,L
DET,OKC,11/09/2012,L
OKC,DET,11/09/2012,W
MIL,WAS,11/09/2012,W
IND,MIN,11/09/2012,L
MIN,IND,11/09/2012,W
PHI,BOS,11/09/2012,W
SAC,SAS,11/09/2012,L
SAS,SAC,11/09/2012,W
BOS,PHI,11/09/2012,L
DEN,UTA,11/09/2012,W
UTA,DEN,11/09/2012,L
NOH,CHA,11/09/2012,W
CHA,NOH,11/09/2012,L
ORL,BKN,11/09/2012,L
CLE,PHX,11/09/2012,L
PHX,CLE,11/09/2012,W
BKN,ORL,11/09/2012,W
POR,LAC,11/08/2012,L
LAC,POR,11/08/2012,W
OKC,CHI,11/08/2012,W
CHI,OKC,11/08/2012,L
LAL,UTA,11/07/2012,L
UTA,LAL,11/07/2012,W
CLE,GSW,11/07/2012,L
GSW,CLE,11/07/2012,W
DET,SAC,11/07/2012,L
HOU,DEN,11/07/2012,L
DAL,TOR,11/07/2012,W
TOR,DAL,11/07/2012,L
MIN,ORL,11/07/2012,W
ORL,MIN,11/07/2012,L
SAS,LAC,11/07/2012,L
LAC,SAS,11/07/2012,W
BOS,WAS,11/07/2012,W
WAS,BOS,11/07/2012,L
IND,ATL,11/07/2012,L
ATL,IND,11/07/2012,W
DEN,HOU,11/07/2012,W
SAC,DET,11/07/2012,W
MIA,BKN,11/07/2012,W
BKN,MIA,11/07/2012,L
MEM,MIL,11/07/2012,W
MIL,MEM,11/07/2012,L
NOH,PHI,11/07/2012,L
PHX,CHA,11/07/2012,W
PHI,NOH,11/07/2012,W
CHA,PHX,11/07/2012,L
OKC,TOR,11/06/2012,W
DET,DEN,11/06/2012,L
CHI,ORL,11/06/2012,W
ORL,CHI,11/06/2012,L
DEN,DET,11/06/2012,W
TOR,OKC,11/06/2012,L
LAC,CLE,11/05/2012,L
CLE,LAC,11/05/2012,W
POR,DAL,11/05/2012,L
DAL,POR,11/05/2012,W
BKN,MIN,11/05/2012,L
MIN,BKN,11/05/2012,W
GSW,SAC,11/05/2012,L
SAC,GSW,11/05/2012,W
NYK,PHI,11/05/2012,W
PHX,MIA,11/05/2012,L
MIA,PHX,11/05/2012,W
PHI,NYK,11/05/2012,L
MEM,UTA,11/05/2012,W
UTA,MEM,11/05/2012,L
SAS,IND,11/05/2012,W
IND,SAS,11/05/2012,L
ORL,PHX,11/04/2012,W
PHX,ORL,11/04/2012,L
MIN,TOR,11/04/2012,L
TOR,MIN,11/04/2012,W
OKC,ATL,11/04/2012,L
LAL,DET,11/04/2012,W
ATL,OKC,11/04/2012,W
DET,LAL,11/04/2012,L
NYK,PHI,11/04/2012,W
PHI,NYK,11/04/2012,L
DEN,MIA,11/03/2012,L
NOH,CHI,11/03/2012,W
CLE,MIL,11/03/2012,L
MIL,CLE,11/03/2012,W
SAS,UTA,11/03/2012,W
CHI,NOH,11/03/2012,L
BKN,TOR,11/03/2012,W
TOR,BKN,11/03/2012,L
UTA,SAS,11/03/2012,L
MIA,DEN,11/03/2012,W
POR,HOU,11/03/2012,W
HOU,POR,11/03/2012,L
WAS,BOS,11/03/2012,L
BOS,WAS,11/03/2012,W
LAC,GSW,11/03/2012,L
GSW,LAC,11/03/2012,W
SAC,IND,11/03/2012,L
IND,SAC,11/03/2012,W
DAL,CHA,11/03/2012,W
CHA,DAL,11/03/2012,L
DET,PHX,11/02/2012,L
MIL,BOS,11/02/2012,W
BOS,MIL,11/02/2012,L
CLE,CHI,11/02/2012,L
CHI,CLE,11/02/2012,W
CHA,IND,11/02/2012,W
ORL,DEN,11/02/2012,W
DEN,ORL,11/02/2012,L
IND,CHA,11/02/2012,L
LAC,LAL,11/02/2012,W
LAL,LAC,11/02/2012,L
GSW,MEM,11/02/2012,L
PHX,DET,11/02/2012,W
MIA,NYK,11/02/2012,L
MEM,GSW,11/02/2012,W
OKC,POR,11/02/2012,W
NYK,MIA,11/02/2012,W
ATL,HOU,11/02/2012,L
POR,OKC,11/02/2012,L
NOH,UTA,11/02/2012,W
UTA,NOH,11/02/2012,L
SAC,MIN,11/02/2012,L
MIN,SAC,11/02/2012,W
HOU,ATL,11/02/2012,W
OKC,SAS,11/01/2012,L
SAS,OKC,11/01/2012,W
IND,TOR,10/31/2012,W
TOR,IND,10/31/2012,L
DEN,PHI,10/31/2012,L
PHI,DEN,10/31/2012,W
LAL,POR,10/31/2012,L
POR,LAL,10/31/2012,W
SAS,NOH,10/31/2012,W
UTA,DAL,10/31/2012,W
DAL,UTA,10/31/2012,L
DET,HOU,10/31/2012,L
HOU,DET,10/31/2012,W
GSW,PHX,10/31/2012,W
NOH,SAS,10/31/2012,L
LAC,MEM,10/31/2012,W
MEM,LAC,10/31/2012,L
CHI,SAC,10/31/2012,W
SAC,CHI,10/31/2012,L
PHX,GSW,10/31/2012,L
BOS,MIA,10/30/2012,L
MIA,BOS,10/30/2012,W
WAS,CLE,10/30/2012,L
CLE,WAS,10/30/2012,W
LAL,DAL,10/30/2012,L
DAL,LAL,10/30/2012,W
